epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.17,1.91523,1.74509,0.02535,0.73803,0.7091,0.77488,0.47778,1.72366,1.35375,0.02475,0.000331962,0.000331962,0.0671358
2,167.527,1.78954,1.48629,0.02305,0.79746,0.72264,0.81042,0.5378,1.66365,1.21723,0.02301,0.000657062,0.000657062,0.0341276
3,236.978,1.75065,1.3894,0.02238,0.8139,0.7568,0.83775,0.59342,1.67013,1.12584,0.02229,0.000973912,0.000973912,0.00111109
4,305.376,1.71916,1.27635,0.0218,0.77588,0.73773,0.83217,0.57861,1.60725,1.05942,0.0215,0.000962875,0.000962875,0.000962875
5,374.118,1.6715,1.24853,0.02097,0.80509,0.77475,0.8372,0.60026,1.54879,1.09321,0.02054,0.0009505,0.0009505,0.0009505
6,442.477,1.65617,1.18457,0.02043,0.84852,0.76979,0.85154,0.59892,1.57909,1.03924,0.02091,0.000938125,0.000938125,0.000938125
7,510.733,1.619,1.12589,0.01988,0.87252,0.79309,0.85848,0.61149,1.56494,1.05371,0.02141,0.00092575,0.00092575,0.00092575
8,578.979,1.61849,1.08502,0.01975,0.89364,0.76959,0.86626,0.6156,1.57634,0.99346,0.02019,0.000913375,0.000913375,0.000913375
9,647.276,1.57832,1.04715,0.01899,0.8754,0.79739,0.85239,0.64558,1.51955,1.01713,0.01995,0.000901,0.000901,0.000901
10,715.717,1.56007,1.0274,0.019,0.83383,0.79116,0.85506,0.61141,1.53734,0.96012,0.01964,0.000888625,0.000888625,0.000888625
11,784.069,1.56625,0.99302,0.01877,0.87517,0.78425,0.86318,0.62433,1.53345,1.00378,0.02013,0.00087625,0.00087625,0.00087625
12,852.262,1.54615,0.9638,0.01823,0.83938,0.77472,0.85494,0.60512,1.58789,1.00533,0.02058,0.000863875,0.000863875,0.000863875
13,920.541,1.5275,0.94791,0.01818,0.8557,0.81274,0.86139,0.6041,1.59278,0.99216,0.02035,0.0008515,0.0008515,0.0008515
14,988.508,1.5154,0.94618,0.01795,0.84294,0.81653,0.85951,0.61137,1.58921,0.95522,0.02057,0.000839125,0.000839125,0.000839125
15,1056.69,1.50861,0.89481,0.01776,0.85398,0.79182,0.86992,0.62734,1.51241,0.97532,0.01976,0.00082675,0.00082675,0.00082675
16,1125.21,1.49236,0.88294,0.01748,0.82618,0.78775,0.86379,0.61799,1.53234,0.91549,0.02,0.000814375,0.000814375,0.000814375
17,1193.8,1.48942,0.88691,0.01745,0.84693,0.79469,0.8681,0.64933,1.56732,0.97934,0.02003,0.000802,0.000802,0.000802
18,1263.01,1.46573,0.85124,0.01691,0.8843,0.81957,0.87778,0.62854,1.53822,0.92805,0.02003,0.000789625,0.000789625,0.000789625
19,1331.83,1.46211,0.82487,0.01703,0.9076,0.77735,0.87536,0.63598,1.51166,0.92547,0.01956,0.00077725,0.00077725,0.00077725
20,1400.37,1.4526,0.81149,0.0167,0.81305,0.84778,0.87725,0.64598,1.54491,0.92179,0.02026,0.000764875,0.000764875,0.000764875
21,1469.07,1.44239,0.7946,0.01663,0.85527,0.795,0.87194,0.62617,1.57034,0.94877,0.02065,0.0007525,0.0007525,0.0007525
22,1538.09,1.42825,0.78995,0.01644,0.8628,0.80253,0.87403,0.64494,1.53136,0.95672,0.01966,0.000740125,0.000740125,0.000740125
23,1607.09,1.42922,0.78813,0.01642,0.85678,0.81441,0.86542,0.64594,1.50681,0.93215,0.01981,0.00072775,0.00072775,0.00072775
24,1675.87,1.40797,0.75989,0.01604,0.87871,0.77457,0.858,0.63266,1.54723,0.95343,0.02013,0.000715375,0.000715375,0.000715375
25,1744.38,1.40772,0.73188,0.01608,0.88005,0.81042,0.88195,0.64044,1.51799,0.95975,0.01961,0.000703,0.000703,0.000703
26,1813.33,1.38845,0.73041,0.01577,0.87482,0.84315,0.88465,0.6635,1.50286,0.92782,0.01944,0.000690625,0.000690625,0.000690625
27,1882.58,1.38493,0.71272,0.01553,0.86443,0.81378,0.86952,0.65415,1.51243,0.90239,0.01969,0.00067825,0.00067825,0.00067825
28,1951.67,1.3765,0.71644,0.01571,0.90676,0.8336,0.88872,0.64472,1.53062,0.86387,0.01999,0.000665875,0.000665875,0.000665875
